year,african_american_applicants,african_american_admits,african_american_enrollees,african_american_admit_rate,african_american_yield,american_indian_applicants,american_indian_admits,american_indian_enrollees,american_indian_admit_rate,american_indian_yield,asian_american_applicants,asian_american_admits,asian_american_enrollees,asian_american_admit_rate,asian_american_yield,chicano_latino_applicants,chicano_latino_admits,chicano_latino_enrollees,chicano_latino_admit_rate,chicano_latino_yield,white_applicants,white_admits,white_enrollees,white_admit_rate,white_yield,other_applicants,other_admits,other_enrollees,other_admit_rate,other_yield,unknown_applicants,unknown_admits,unknown_enrollees,unknown_admit_rate,unknown_yield,international_applicants,international_admits,international_enrollees,international_admit_rate,international_yield,total_applicants,total_admits,total_enrollees,total_admit_rate,total_yield
1994,1241,713,280,0.574536664,0.392706872,130,102,41,0.784615385,0.401960784,9544,4687,1724,0.491093881,0.367825901,3479,2026,741,0.58235125,0.365745311,7271,3503,1099,0.481776922,0.313731088,396,143,61,0.361111111,0.426573427,828,449,134,0.542270531,0.29844098,668,178,45,0.266467066,0.252808989,23557,11801,4125,0.50095513,0.349546649
1995,1439,684,264,0.47533009,0.385964912,166,113,45,0.680722892,0.398230088,9662,3989,1392,0.412854481,0.348959639,3803,2037,799,0.535629766,0.392243495,7955,3149,993,0.395851666,0.315338203,526,171,65,0.325095057,0.380116959,992,459,121,0.462701613,0.263616558,915,145,24,0.158469945,0.165517241,25458,10747,3703,0.42214628,0.344561273
1996,1513,621,236,0.410442829,0.380032206,178,100,32,0.561797753,0.32,10935,4042,1380,0.369638775,0.341415141,3889,1744,699,0.44844433,0.400802752,9015,3512,1192,0.389572934,0.339407745,604,169,80,0.279801325,0.473372781,1243,575,174,0.462590507,0.302608696,684,149,27,0.217836257,0.181208054,28061,10912,3820,0.388867111,0.350073314
1997,1369,515,215,0.376186998,0.417475728,157,81,39,0.515923567,0.481481481,11610,4194,1478,0.36124031,0.352408202,3728,1506,569,0.403969957,0.377822045,9800,3539,1259,0.361122449,0.355750212,498,162,57,0.325301205,0.351851852,997,488,152,0.489468405,0.31147541,1140,163,42,0.142982456,0.257668712,29299,10648,3811,0.363425373,0.357907588
1998,1361,313,144,0.229977957,0.460063898,195,50,14,0.256410256,0.28,11758,4275,1669,0.363582242,0.390409357,4089,994,439,0.24309122,0.441649899,9606,3372,1274,0.351030606,0.377817319,500,132,70,0.264,0.53030303,4340,1528,559,0.352073733,0.365837696,943,163,31,0.172852598,0.190184049,32792,10827,4200,0.330171993,0.387919091
1999,1432,329,152,0.229748603,0.462006079,199,41,12,0.206030151,0.292682927,13364,4208,1628,0.314875786,0.386882129,4235,1043,489,0.246280992,0.468839885,12128,3464,1386,0.285620053,0.400115473,723,186,87,0.257261411,0.467741935,2448,837,323,0.341911765,0.385902031,1154,190,53,0.164644714,0.278947368,35683,10298,4130,0.288596811,0.401048747
2000,1624,344,157,0.21182266,0.456395349,197,49,16,0.248730964,0.326530612,14119,4419,1671,0.312982506,0.378139851,4770,1180,525,0.247379455,0.444915254,12399,3685,1362,0.297201387,0.369606513,730,187,84,0.256164384,0.449197861,2672,900,306,0.336826347,0.34,1292,205,80,0.158668731,0.390243902,37803,10969,4201,0.290162156,0.382988422
2001,1712,341,140,0.199182243,0.410557185,209,48,13,0.229665072,0.270833333,14850,4376,1731,0.294680135,0.395566728,5546,1284,580,0.231518211,0.451713396,13108,3549,1328,0.270750687,0.374189913,779,178,86,0.228498074,0.483146067,2967,957,300,0.322548028,0.313479624,1573,224,68,0.142403051,0.303571429,40744,10957,4246,0.268923032,0.387514831
2002,1931,354,171,0.183324702,0.483050847,230,40,18,0.173913043,0.45,15704,4310,1757,0.274452369,0.407656613,6394,1330,617,0.208007507,0.463909774,14313,3303,1297,0.230769231,0.392673327,785,129,68,0.16433121,0.527131783,2784,792,260,0.284482759,0.328282828,1294,196,70,0.151468315,0.357142857,43435,10454,4258,0.240681478,0.407308207
2003,2110,294,130,0.139336493,0.442176871,230,35,15,0.152173913,0.428571429,15953,4313,1724,0.270356673,0.399721771,6910,1336,635,0.193342981,0.475299401,14321,3320,1304,0.231827386,0.392771084,828,156,77,0.188405797,0.493589744,3385,893,305,0.263810931,0.341545353,1244,232,79,0.186495177,0.340517241,44981,10579,4269,0.235188191,0.403535306
2004,1954,347,122,0.177584442,0.351585014,232,48,10,0.206896552,0.208333333,15837,4572,1524,0.28869104,0.333333333,6863,1496,542,0.217980475,0.362299465,13579,3941,1297,0.290227557,0.329104288,859,174,59,0.202561118,0.33908046,2871,932,291,0.324625566,0.31223176,1265,262,98,0.207114625,0.374045802,43460,11772,3943,0.270869765,0.334947333
2005,1846,280,124,0.151679307,0.442857143,213,44,18,0.20657277,0.409090909,15675,4711,1783,0.300542265,0.378475907,6818,1409,641,0.206658844,0.454932576,13390,3725,1446,0.278192681,0.388187919,783,161,78,0.205619413,0.48447205,2067,750,246,0.362844702,0.328,1431,281,86,0.196366177,0.306049822,42223,11361,4422,0.269071359,0.389226301
2006,2176,251,102,0.115349265,0.406374502,274,51,16,0.186131387,0.31372549,18026,5413,2099,0.300288472,0.387770183,7647,1401,650,0.183209102,0.463954318,14473,3792,1486,0.262005113,0.391877637,806,144,62,0.17866005,0.430555556,2223,786,259,0.353576248,0.329516539,1692,351,136,0.207446809,0.387464387,47317,12189,4810,0.257602976,0.394618098
2007,2460,407,204,0.165447154,0.501228501,258,45,14,0.174418605,0.311111111,18668,4992,1838,0.267409471,0.368189103,8786,1479,642,0.168335989,0.434077079,15459,3860,1473,0.249692736,0.381606218,817,148,64,0.181150551,0.432432432,2252,714,225,0.31705151,0.31512605,2046,317,104,0.154936461,0.32807571,50746,11962,4564,0.235723013,0.381541548
2008,2826,452,230,0.159943383,0.508849558,297,43,11,0.144781145,0.255813953,19301,4831,1723,0.250297912,0.356654937,10286,1683,750,0.163620455,0.445632799,16413,3999,1550,0.243648328,0.387596899,881,140,64,0.158910329,0.457142857,2686,896,277,0.333581534,0.309151786,2733,615,129,0.225027442,0.209756098,55423,12659,4734,0.228406979,0.373963188
2009,2763,416,193,0.150560984,0.463942308,316,57,23,0.180379747,0.403508772,19648,4893,1760,0.24903298,0.359697527,10677,1665,765,0.155942681,0.459459459,15911,3730,1380,0.234429011,0.36997319,762,152,54,0.199475066,0.355263158,2086,617,171,0.2957814,0.277147488,3531,648,126,0.183517417,0.194444444,55694,12178,4472,0.218659102,0.367219576
2010,3218,436,194,0.135487881,0.444954128,392,80,26,0.204081633,0.325,19978,5051,1792,0.252828111,0.354781231,11428,1716,742,0.150157508,0.432400932,15493,3756,1359,0.242432066,0.361821086,,,,,,2967,785,240,0.264577014,0.305732484,4182,1263,283,0.302008608,0.224069675,57658,13087,4636,0.226976309,0.35424467
